time,S_i1,S_i2,S_i3,S_i4,E_i1,E_i2,E_i3,E_i4,A_i1,A_i2,A_i3,A_i4,P_i1,P_i2,P_i3,P_i4,I_i1,I_i2,I_i3,I_i4,D_i1,D_i2,D_i3,D_i4,H_i1,H_i2,H_i3,H_i4,R_i1,R_i2,R_i3,R_i4,F_i1,F_i2,F_i3,F_i4,cum_exp_i1,cum_exp_i2,cum_exp_i3,cum_exp_i4,cum_asym_i1,cum_asym_i2,cum_asym_i3,cum_asym_i4,cum_sym_i1,cum_sym_i2,cum_sym_i3,cum_sym_i4,cum_diag_i1,cum_diag_i2,cum_diag_i3,cum_diag_i4,cum_hosp_i1,cum_hosp_i2,cum_hosp_i3,cum_hosp_i4
0,502167,996886,514648,176295,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,502166.936795243,996885.781994752,514647.864545788,176294.960843134,0.0565463156756144,1.63279702625484,1.55896281562746,0.0350172599814452,0.00189756406652404,0.158583576888468,0.156099562105387,0.0011796158340505,0.0041111217749956,0.319676095122937,0.314294917907427,0.00255530661492728,0.000532662096786806,0.0852844516018783,0.0845658667375173,0.000331610437117692,1.0937901680947e-06,0.000294950626316754,0.000293410993695184,6.81521679958244e-07,2.19127216870017e-08,0.000137247766644629,0.000566594807683093,2.58021115607286e-06,0.000115977175929587,0.0212316286138367,0.0206682177766759,6.97786474738533e-05,0,2.70656996472744e-07,2.82585448705544e-06,3.25356052995303e-08,0.0632047564927402,0.218005247531916,0.135454211810334,0.0391568657834559,0.00199753224513774,0.175562466383124,0.172947418854862,0.0012418817406032,0.000549786796992468,0.0899696597710177,0.0892490594205841,0.000342417446480178,1.14335477340965e-06,0.000448386074140488,0.000893828730304311,3.37110820797011e-06,2.24567481014554e-08,0.000142681726343044,0.000590785364226128,2.67696798518568e-06
2,502166.773433726,996885.239383698,514647.530568065,176294.863032131,0.181907252749423,1.64235988775002,1.40903282353328,0.109638625181902,0.0120741964477372,0.274794372983864,0.259159666963856,0.00738322865133803,0.0243775760757832,0.487633585373204,0.456089596617403,0.0148906818857066,0.00645076638476378,0.264405047844667,0.255887786305356,0.00396880017746266,2.69580977661671e-05,0.0018615713340055,0.00182507741083959,1.66511821088228e-05,5.41002797901908e-07,0.000866853478149829,0.00351694187044524,6.2386548406085e-05,0.00172898284446022,0.088691410841331,0.083883182541988,0.00100586313280784,0,3.57188565561472e-06,3.68599246618209e-05,1.63255926245453e-06,0.226566273602732,0.760616301490892,0.469431935167832,0.136967869318994,0.0133977062559925,0.335476924122263,0.318119733490365,0.00819877324112774,0.00688373852153272,0.295145904245409,0.286189781526782,0.00423978901025815,2.89079956660768e-05,0.00294197641164311,0.00578340370499502,8.45314969075755e-05,5.68760911150577e-07,0.00093856595169717,0.00383247902771511,6.72415758788996e-05
3,502166.517747676,996884.441672274,514647.047656137,176294.718420154,0.350830432547548,1.86597889087693,1.42760160578008,0.203066248926617,0.033729260926392,0.381416829850235,0.338468260098013,0.0201018724121083,0.0638560927900083,0.613711282803829,0.532573253458528,0.0379329406752797,0.0254816034496023,0.483332313235487,0.450251230581604,0.0153848229020328,0.000161174410990677,0.00509865726135281,0.00488485251994077,9.81932176258126e-05,3.24013313418205e-06,0.00237591194389672,0.00939318849877624,0.000364041753058715,0.008190520185648,0.206398629541538,0.18901716736438,0.0046169156242328,0,1.52099960838154e-05,0.00015430434204929,1.48101705557136e-05,0.482252324443324,1.55832772550935,0.952343862643367,0.281579845681511,0.0394265675687327,0.507704650389727,0.457422677058988,0.0235540790264682,0.0281392315370345,0.570932901438866,0.534746326345777,0.017026577053146,0.000177440289361005,0.00838359415823483,0.0161266360952661,0.000512124187982898,3.49713342707438e-06,0.00268128186527179,0.0107141014928026,0.000408085351706984
4,502166.154200768,996883.384473162,514646.420389967,176294.52568492,0.564685881605584,2.24842244064806,1.56413679686336,0.311351368109003,0.0686364005274674,0.49631870564858,0.410750941845592,0.0395821546157106,0.122803897295798,0.746823035154095,0.594382801774017,0.0703447698004265,0.0647261702436583,0.730043528814514,0.647549024400994,0.0381142304081542,0.000546160166905104,0.0100769513284438,0.00936504566077359,0.000326705969746393,1.09986351620038e-05,0.00469896972226201,0.0179703854497485,0.00119858825141815,0.0243897235437497,0.379102018092568,0.335046171942335,0.013330116753937,0,4.11879544624863e-05,0.000408864955144083,6.7146287305514e-05,0.845799232018324,2.61552683736298,1.57961003289196,0.474315080195702,0.0843340051238222,0.710131319014478,0.604641970808581,0.0488891136260095,0.0739754479931203,0.910150042546352,0.816448463446005,0.0437298286602624,0.000617541080336251,0.0172366412983062,0.0322359512766944,0.00175171397797234,1.21916796233537e-05,0.00552589711570116,0.0214704491866412,0.00139827292876068
5,502165.653759433,996882.022849438,514645.628906035,176294.276418097,0.835843891018818,2.78408113124778,1.80284770698605,0.437610890138291,0.118942855069715,0.631735228006794,0.486952681712265,0.0660419163383558,0.202833787971949,0.91200725920239,0.666816528582488,0.111378546955343,0.130651538548197,1.01033270339752,0.847196083453655,0.07465562895079,0.00136791290458788,0.0168419361975327,0.0150902140087199,0.000800225280146277,2.75939494502627e-05,0.00785864749726937,0.0288972269891988,0.0029056588824846,0.0565729879512732,0.614205985543089,0.522445337802621,0.02997969243239,0,8.76707808287757e-05,0.000848185961749361,0.000209343832633881,1.34624056741399,3.9771505618732,2.37109396549674,0.723581902810434,0.153119002918552,0.957920829187626,0.770473877553209,0.0857913038016429,0.154443885504672,1.3231413422354,1.130955852375,0.0888011619151576,0.00158852961725481,0.0299365647079702,0.0541580607783829,0.00441251790229984,3.14130555059451e-05,0.00961880702006249,0.0361580716507676,0.00352822131073834
6,502164.97602639,996880.282408065,514644.636330364,176293.957119063,1.18287657449738,3.49390099853922,2.14678591433532,0.588403601639816,0.187819346274606,0.79851179330649,0.575564322325417,0.100113347117616,0.307813650635811,1.12624662336233,0.764350417440386,0.161515528561385,0.23008151182733,1.33847681564125,1.05746989332301,0.127088765782949,0.00284881405961707,0.0255315482497533,0.0219504217621811,0.00162431685457032,5.75613745851294e-05,0.0119204542121774,0.0419530421033445,0.00583920164489762,0.112476151343382,0.92284256842594,0.754081352256797,0.057778857639341,0,0.000161132902854239,0.00151427210189051,0.00051731738045889,2.02397361001271,5.71759193464002,3.36366963564835,1.04288093662103,0.252329110654599,1.26710728083024,0.965065116393908,0.136343200494366,0.280954274224921,1.83033703190823,1.48746818747873,0.156618605925468,0.00339659176658684,0.0470722459784223,0.082068976296431,0.00921145556050397,6.7273892008368e-05,0.0151555071079433,0.054915876909638,0.00737763896356274
7,502164.06804663,996878.060350759,514643.390192545,176293.549361193,1.62988423835386,4.4171841728498,2.61144090293197,0.772649895885793,0.279781417269881,1.00828747553508,0.68441483006371,0.143014802524186,0.4440032210111,1.40551419267256,0.89759715286083,0.222477832646368,0.37123239063314,1.73417956224379,1.29107595050204,0.19771623900761,0.0052511281361528,0.036425239694209,0.0299506556333825,0.00291029756002784,0.000106266934062573,0.017015757694279,0.0571414788670962,0.0103622209358,0.201694707660557,1.32077406429533,1.03573948574466,0.10041463493876,0,0.000268776099819007,0.00244699869948359,0.00109288338491239,2.93195336999875,7.93964924108486,4.60980745530317,1.45063880688346,0.390620739493468,1.65673952047052,1.19950996571136,0.203396673299299,0.467445171140325,2.46021135509198,1.90125943379901,0.252114405051997,0.00642378205368715,0.0694830482540081,0.116458912762657,0.0169688114352267,0.000127422766979634,0.0224119547752606,0.0780888633384997,0.0136123197103798
8,502162.861348294,996875.22130758,514641.820722229,176293.029025817,2.20749494711693,5.61007083143014,3.22274970633918,1.00163682113657,0.400979997637708,1.27489466069732,0.821792762414349,0.196651504913162,0.620200215566463,1.76829187188988,1.07684688116021,0.297159652553502,0.564653035570859,2.22224858066376,1.563651979203,0.289588383029395,0.00888921457498344,0.0499727686703835,0.0392280250627813,0.00477912966603894,0.000180155619972387,0.0233553495575458,0.0747217136830427,0.0168626406576164,0.336254140069678,1.82943928175326,1.3765980071941,0.162231161858824,0,0.00041907546589253,0.00368869637349499,0.00206488929539306,4.1386517061566,10.7786924201282,6.17927777143016,1.9709741831105,0.579347027711899,2.15058647660941,1.48695841952729,0.29080120859218,0.731609515761302,3.24974324019875,2.39272276440347,0.38137650082825,0.0111470849874674,0.098333794349599,0.158235489636711,0.0286321281796936,0.00022142702807849,0.0317690954496958,0.106298576045159,0.0230033636855705
9,502161.267642245,996871.589652117,514639.837112506,176292.364917946,2.95472340890113,7.14742670323138,4.01738508367834,1.28954500785723,0.55957160745049,1.61554065231208,0.997301081896949,0.263724942017932,0.848100680839611,2.23779122371489,1.31409614531173,0.389642324294957,0.824147323032421,2.8335876897441,1.89371878718907,0.40693829394247,0.0141487014063029,0.0668230428639571,0.0500603584830152,0.00736920206408883,0.000287141270688453,0.0312430429811419,0.0952231571660518,0.0257825922495341,0.531378891742255,2.47731310457169,1.78981375695671,0.248487678551527,0,0.000622423382093192,0.0052891230571671,0.00359201294411664,5.7323577546429,14.4103478828013,8.16288749373904,2.63508205392186,0.833290303722531,2.77887635387099,1.84365072301821,0.403661113819388,1.09624336117963,4.24625360198408,2.98775554173076,0.552233607950281,0.018166875933898,0.135195641174196,0.208806587598671,0.045323012981887,0.000361343077283635,0.0437393893447052,0.140500375424658,0.0364647903953904
