"","County","AGEGROUP","AGEGROUPMIN","AGEGROUPMAX","POP"
"1","Okanogan County","0",0,Inf,"42243"
"2","Okanogan County","1",0,4,"2548"
"3","Okanogan County","2",5,9,"2905"
"4","Okanogan County","3",10,14,"2853"
"5","Okanogan County","4",15,19,"2399"
"6","Okanogan County","5",20,24,"1931"
"7","Okanogan County","6",25,29,"2429"
"8","Okanogan County","7",30,34,"2323"
"9","Okanogan County","8",35,39,"2397"
"10","Okanogan County","9",40,44,"2323"
"11","Okanogan County","10",45,49,"2355"
"12","Okanogan County","11",50,54,"2284"
"13","Okanogan County","12",55,59,"2842"
"14","Okanogan County","13",60,64,"3343"
"15","Okanogan County","14",65,69,"3191"
"16","Okanogan County","15",70,74,"2591"
"17","Okanogan County","16",75,79,"1630"
"18","Okanogan County","17",80,84,"1002"
"19","Okanogan County","18",85,Inf,"897"
"20","Okanogan County","19",0,17,"9833"
"21","Okanogan County","20",5,13,"5199"
"22","Okanogan County","21",14,17,"2086"
"23","Okanogan County","22",18,64,"23099"
"24","Okanogan County","23",18,24,"2803"
"25","Okanogan County","24",25,44,"9472"
"26","Okanogan County","25",45,64,"10824"
"27","Okanogan County","26",65,Inf,"9311"
"28","Okanogan County","27",85,Inf,"897"
"29","Okanogan County","28",16,Inf,"33421"
"30","Okanogan County","29",18,Inf,"32410"
"31","Okanogan County","30",15,44,"13802"
"32","Okanogan County","31",NA,NA,"42.8"
"33","Kittitas County","0",0,Inf,"47935"
"34","Kittitas County","1",0,4,"2192"
"35","Kittitas County","2",5,9,"2254"
"36","Kittitas County","3",10,14,"2261"
"37","Kittitas County","4",15,19,"3861"
"38","Kittitas County","5",20,24,"7528"
"39","Kittitas County","6",25,29,"3403"
"40","Kittitas County","7",30,34,"2668"
"41","Kittitas County","8",35,39,"2561"
"42","Kittitas County","9",40,44,"2337"
"43","Kittitas County","10",45,49,"2381"
"44","Kittitas County","11",50,54,"2435"
"45","Kittitas County","12",55,59,"2957"
"46","Kittitas County","13",60,64,"3067"
"47","Kittitas County","14",65,69,"2779"
"48","Kittitas County","15",70,74,"2114"
"49","Kittitas County","16",75,79,"1420"
"50","Kittitas County","17",80,84,"890"
"51","Kittitas County","18",85,Inf,"827"
"52","Kittitas County","19",0,17,"8066"
"53","Kittitas County","20",5,13,"4064"
"54","Kittitas County","21",14,17,"1810"
"55","Kittitas County","22",18,64,"31839"
"56","Kittitas County","23",18,24,"10030"
"57","Kittitas County","24",25,44,"10969"
"58","Kittitas County","25",45,64,"10840"
"59","Kittitas County","26",65,Inf,"8030"
"60","Kittitas County","27",85,Inf,"827"
"61","Kittitas County","28",16,Inf,"40756"
"62","Kittitas County","29",18,Inf,"39869"
"63","Kittitas County","30",15,44,"22358"
"64","Kittitas County","31",NA,NA,"34.6"
"65","Thurston County","0",0,Inf,"290536"
"66","Thurston County","1",0,4,"16653"
"67","Thurston County","2",5,9,"17507"
"68","Thurston County","3",10,14,"17359"
"69","Thurston County","4",15,19,"16285"
"70","Thurston County","5",20,24,"17045"
"71","Thurston County","6",25,29,"21104"
"72","Thurston County","7",30,34,"20952"
"73","Thurston County","8",35,39,"21342"
"74","Thurston County","9",40,44,"18635"
"75","Thurston County","10",45,49,"17463"
"76","Thurston County","11",50,54,"17149"
"77","Thurston County","12",55,59,"18475"
"78","Thurston County","13",60,64,"18696"
"79","Thurston County","14",65,69,"17919"
"80","Thurston County","15",70,74,"14146"
"81","Thurston County","16",75,79,"9061"
"82","Thurston County","17",80,84,"5376"
"83","Thurston County","18",85,Inf,"5369"
"84","Thurston County","19",0,17,"61708"
"85","Thurston County","20",5,13,"31490"
"86","Thurston County","21",14,17,"13565"
"87","Thurston County","22",18,64,"176957"
"88","Thurston County","23",18,24,"23141"
"89","Thurston County","24",25,44,"82033"
"90","Thurston County","25",45,64,"71783"
"91","Thurston County","26",65,Inf,"51871"
"92","Thurston County","27",85,Inf,"5369"
"93","Thurston County","28",16,Inf,"235585"
"94","Thurston County","29",18,Inf,"228828"
"95","Thurston County","30",15,44,"115363"
"96","Thurston County","31",NA,NA,"39.3"
"97","Benton County","0",0,Inf,"204390"
